benchmark	rounds	raw_samples_per_variant	baseline_mean_ms	optimized_mean_ms	aggregate_speedup_percent	paired_mean_speedup_percent	paired_median_speedup_percent	paired_95ci_low_percent	paired_95ci_high_percent	paired_familywise_95ci_low_percent	paired_familywise_95ci_high_percent
bulk_load	7	7	14298.000	14140.429	+1.114	+1.140	+0.968	-1.263	+3.544	-3.265	+5.546
individual_writes	7	7	44.429	45.571	-2.508	-2.403	-2.222	-5.957	+1.152	-8.919	+4.113
batch_writes	7	7	1556.571	1553.714	+0.184	+0.191	-1.175	-3.397	+3.779	-6.386	+6.768
nosync_writes	7	7	3438.429	3510.286	-2.047	-2.041	-1.981	-2.704	-1.378	-3.257	-0.826
random_reads	7	14	1657.357	1635.857	+1.314	+1.371	+1.990	-2.612	+5.354	-5.930	+8.673
random_range_reads	7	14	1676.286	1685.429	-0.542	-0.462	-0.776	-3.330	+2.407	-5.720	+4.796
random_reads_4_threads	7	7	2133.571	2119.000	+0.688	+0.782	+0.245	-2.700	+4.264	-5.602	+7.166
random_reads_8_threads	7	7	1275.000	1232.000	+3.490	+4.254	+1.493	-7.444	+15.952	-17.191	+25.699
random_reads_16_threads	7	7	1253.857	1229.857	+1.951	+2.342	+0.656	-7.189	+11.873	-15.130	+19.815
random_reads_32_threads	7	7	1219.429	1178.000	+3.517	+3.593	+1.369	-1.650	+8.835	-6.019	+13.204
removals	7	7	10096.000	9939.429	+1.575	+1.611	+2.501	-1.222	+4.443	-3.582	+6.803
compaction	7	7	3793.286	3809.143	-0.416	-0.408	-0.309	-2.332	+1.516	-3.935	+3.119
